,toid,mean_depth,p90ile_depth,Class,Area
528,osgb1000030284251,0.078,0.151,A) Low,84
529,osgb1000030284252,0.113,0.18,B) Medium,82
530,osgb1000030284253,0.134,0.192,B) Medium,17
531,osgb1000030284254,0.179,0.229,B) Medium,11
532,osgb1000030284255,0.152,0.28,B) Medium,78
533,osgb1000030284256,0.29,0.438,C) High,84
534,osgb1000030284308,0.101,0.216,B) Medium,18
535,osgb1000030284319,0.073,0.18,A) Low,19
536,osgb1000030284320,0.039,0.101,A) Low,64
537,osgb1000030284321,0.027,0.062,A) Low,64
538,osgb1000030284322,0.061,0.163,A) Low,65
539,osgb1000030284323,0.156,0.41,C) High,67
540,osgb1000030284335,0.042,0.075,A) Low,75
541,osgb1000030284336,0.088,0.237,A) Low,48
542,osgb1000030284338,0.106,0.284,B) Medium,60
543,osgb1000030284339,0.111,0.239,B) Medium,65
544,osgb1000030284340,0.08,0.177,A) Low,65
545,osgb1000030284341,0.034,0.089,A) Low,62
546,osgb1000030284342,0.022,0.059,A) Low,67
547,osgb1000030284343,0.021,0.053,A) Low,67
548,osgb1000030284344,0.026,0.072,A) Low,70
549,osgb1000030284345,0.054,0.108,A) Low,67
550,osgb1000030284346,0.038,0.102,A) Low,51
551,osgb1000030284347,0.036,0.073,A) Low,12
552,osgb1000030284348,0.032,0.06,A) Low,65
553,osgb1000030284349,0.039,0.072,A) Low,63
554,osgb1000030284350,0.023,0.036,A) Low,12
555,osgb1000030284351,0.037,0.087,A) Low,47
556,osgb1000030284352,0.129,0.258,B) Medium,71
557,osgb1000030284353,0.284,0.595,C) High,64
558,osgb1000030284355,0.235,0.669,C) High,69
559,osgb1000030284356,0.073,0.18,A) Low,67
560,osgb1000030284357,0.075,0.186,A) Low,67
561,osgb1000030284358,0.088,0.206,A) Low,62
562,osgb1000030284359,0.068,0.148,A) Low,63
563,osgb1000030284360,0.104,0.256,B) Medium,67
564,osgb1000030284361,0.166,0.31,C) High,69
565,osgb1000030284363,0.002,0.003,A) Low,9
566,osgb1000030284364,0.004,0.005,A) Low,88
567,osgb1000030284365,0.003,0.005,A) Low,52
568,osgb1000030284366,0.004,0.006,A) Low,44
569,osgb1000030284368,0.14,0.281,B) Medium,39
570,osgb1000030284371,0.091,0.27,A) Low,87
571,osgb1000030284372,0.11,0.325,C) High,53
572,osgb1000030284373,0.161,0.552,C) High,56
573,osgb1000030284374,0.01,0.018,A) Low,3
574,osgb1000030284375,0.098,0.281,A) Low,328
575,osgb1000030284376,0.035,0.065,A) Low,61
576,osgb1000030284377,0.064,0.154,A) Low,56
577,osgb1000030284471,0.053,0.132,A) Low,12
578,osgb1000030284403,0.055,0.133,A) Low,65
579,osgb1000030284405,0.057,0.15,A) Low,65
580,osgb1000030284379,0.057,0.153,A) Low,51
581,osgb1000030284380,0.119,0.211,B) Medium,55
582,osgb1000030284381,0.128,0.212,B) Medium,6
583,osgb1000030284382,0.088,0.197,A) Low,58
584,osgb1000030284383,0.094,0.272,A) Low,57
585,osgb1000030284384,0.153,0.337,C) High,55
586,osgb1000030284385,0.105,0.304,C) High,54
587,osgb1000030284448,0.02,0.035,A) Low,25
588,osgb1000030284386,0.149,0.307,C) High,54
589,osgb1000030284387,0.218,0.496,C) High,59
590,osgb1000030284388,0.338,0.667,C) High,54
591,osgb1000030284389,0.393,0.733,C) High,62
592,osgb1000030284390,0.312,0.664,C) High,61
593,osgb1000030284391,0.205,0.272,B) Medium,59
594,osgb1000030284392,0.252,0.32,C) High,62
595,osgb1000030284393,0.176,0.307,C) High,62
596,osgb1000030284496,0.557,0.557,C) High,3
597,osgb1000030284394,0.091,0.215,A) Low,63
598,osgb1000030284395,0.05,0.123,A) Low,63
599,osgb1000030284396,0.074,0.17,A) Low,63
600,osgb1000030284397,0.059,0.134,A) Low,59
601,osgb1000030284398,0.075,0.157,A) Low,59
602,osgb1000030284399,0.114,0.238,B) Medium,59
603,osgb1000030284400,0.138,0.261,B) Medium,58
604,osgb1000030284401,0.112,0.265,B) Medium,68
605,osgb1000030284402,0.072,0.145,A) Low,64
606,osgb1000030284406,0.068,0.201,A) Low,56
607,osgb1000030284407,0.043,0.075,A) Low,62
608,osgb1000030284409,0.022,0.041,A) Low,56
609,osgb1000030284410,0.016,0.024,A) Low,56
610,osgb1000030284411,0.014,0.019,A) Low,61
611,osgb1000030284412,0.013,0.019,A) Low,62
612,osgb1000030284413,0.02,0.025,A) Low,59
613,osgb1000030284414,0.022,0.027,A) Low,56
614,osgb1000030284446,0.105,0.256,B) Medium,66
615,osgb1000030284447,0.07,0.176,A) Low,71
616,osgb1000030284415,0.021,0.025,A) Low,67
617,osgb1000030284417,0.022,0.032,A) Low,40
618,osgb1000030284418,0.035,0.06,A) Low,53
619,osgb1000030284419,0.041,0.086,A) Low,45
620,osgb1000030284420,0.042,0.076,A) Low,42
621,osgb1000030284421,0.053,0.089,A) Low,4
622,osgb1000030284422,0.048,0.082,A) Low,13
623,osgb1000030284423,0.03,0.047,A) Low,65
624,osgb1000030284424,0.034,0.048,A) Low,68
625,osgb1000030284425,0.014,0.02,A) Low,53
626,osgb1000030284426,0.035,0.073,A) Low,55
627,osgb1000030284427,0.04,0.087,A) Low,72
628,osgb1000030284428,0.012,0.019,A) Low,79
629,osgb1000030284429,0.013,0.019,A) Low,81
630,osgb1000030284430,0.012,0.016,A) Low,55
631,osgb1000030284431,0.012,0.016,A) Low,66
632,osgb1000030284432,0.007,0.012,A) Low,70
633,osgb1000030284433,0.015,0.035,A) Low,62
634,osgb1000030284434,0.012,0.017,A) Low,65
635,osgb1000030284435,0.018,0.033,A) Low,68
636,osgb1000030284436,0.02,0.034,A) Low,69
637,osgb1000030284437,0.02,0.03,A) Low,71
638,osgb1000030284438,0.018,0.021,A) Low,69
639,osgb1000030284439,0.019,0.023,A) Low,64
640,osgb1000030284440,0.021,0.032,A) Low,71
641,osgb1000030284441,0.02,0.036,A) Low,43
642,osgb1000030284442,0.007,0.013,A) Low,53
643,osgb1000030284443,0.007,0.014,A) Low,9
644,osgb1000030284445,0.027,0.062,A) Low,46
645,osgb1000030284449,0.024,0.046,A) Low,45
646,osgb1000030284450,0.023,0.047,A) Low,68
647,osgb1000030284451,0.04,0.042,A) Low,3
648,osgb1000030284452,0.05,0.057,A) Low,5
649,osgb1000030284453,0.029,0.055,A) Low,76
650,osgb1000030284459,0.026,0.044,A) Low,74
651,osgb1000030284460,0.028,0.042,A) Low,72
652,osgb1000030284461,0.025,0.053,A) Low,66
653,osgb1000030284462,0.006,0.006,A) Low,1
654,osgb1000030284463,0.011,0.019,A) Low,67
655,osgb1000030284464,0.048,0.142,A) Low,72
656,osgb1000030284465,0.069,0.147,A) Low,65
657,osgb1000030284466,0.043,0.102,A) Low,72
658,osgb1000030284467,0.036,0.073,A) Low,64
659,osgb1000030284468,0.029,0.031,A) Low,74
660,osgb1000030284469,0.016,0.02,A) Low,59
661,osgb1000030284470,0.032,0.052,A) Low,72
662,osgb1000030284475,0.071,0.21,A) Low,18
663,osgb1000030284476,0.003,0.004,A) Low,16
664,osgb1000030284477,0.026,0.063,A) Low,48
665,osgb1000030284478,0.034,0.081,A) Low,54
666,osgb1000030284479,0.007,0.011,A) Low,13
667,osgb1000030284480,0.01,0.018,A) Low,65
668,osgb1000030284481,0.011,0.017,A) Low,69
669,osgb1000030284482,0.01,0.018,A) Low,73
670,osgb1000030284483,0.009,0.016,A) Low,71
671,osgb1000030284484,0.008,0.013,A) Low,70
672,osgb1000030284485,0.006,0.01,A) Low,66
673,osgb1000030284486,0.005,0.01,A) Low,72
674,osgb1000030284487,0.003,0.005,A) Low,66
675,osgb1000030284488,0.004,0.009,A) Low,65
676,osgb1000030284489,0.007,0.012,A) Low,65
677,osgb1000030284490,0.005,0.006,A) Low,60
678,osgb1000030284491,0.006,0.008,A) Low,68
679,osgb1000030284492,0.008,0.012,A) Low,71
680,osgb1000030284493,0.009,0.012,A) Low,73
681,osgb1000030284494,0.009,0.014,A) Low,66
682,osgb1000030284495,0.12,0.371,C) High,72
683,osgb1000030284497,0.143,0.392,C) High,20
684,osgb1000030284498,0.166,0.569,C) High,44
685,osgb1000030284499,0.265,0.572,C) High,50
686,osgb1000030284500,0.182,0.392,C) High,12
687,osgb1000030284501,0.182,0.392,C) High,10
688,osgb1000030284502,0.176,0.299,B) Medium,7
689,osgb1000030284503,0.003,0.004,A) Low,60
690,osgb1000030284504,0.003,0.004,A) Low,63
691,osgb1000030284505,0.002,0.003,A) Low,63
692,osgb1000030284506,0.002,0.003,A) Low,70
693,osgb1000030284507,0.002,0.003,A) Low,31
694,osgb1000030284508,0.046,0.104,A) Low,70
695,osgb1000030284509,0.007,0.012,A) Low,72
696,osgb1000030284510,0.004,0.006,A) Low,65
697,osgb1000030284511,0.004,0.007,A) Low,25
698,osgb1000030284512,0.005,0.007,A) Low,2
699,osgb1000030284762,0.106,0.205,B) Medium,16
700,osgb1000030284651,0.002,0.002,A) Low,38
701,osgb1000030284649,0.004,0.006,A) Low,2
702,osgb1000030284650,0.002,0.002,A) Low,32
703,osgb1000030284652,0.002,0.003,A) Low,12
704,osgb1000030284653,0.003,0.005,A) Low,81
705,osgb1000030284654,0.014,0.032,A) Low,58
706,osgb1000030284655,0.013,0.029,A) Low,62
707,osgb1000030284656,0.034,0.093,A) Low,63
708,osgb1000030284658,0.002,0.002,A) Low,1
709,osgb1000030284660,0.009,0.02,A) Low,60
710,osgb1000030284661,0.009,0.017,A) Low,60
711,osgb1000030284662,0.008,0.01,A) Low,36
712,osgb1000030284663,0.073,0.219,A) Low,60
713,osgb1000030284664,0.061,0.164,A) Low,49
714,osgb1000030284665,0.056,0.15,A) Low,49
715,osgb1000030284666,0.064,0.122,A) Low,11
716,osgb1000030284667,0.152,0.325,C) High,67
717,osgb1000030284668,0.1,0.256,B) Medium,71
718,osgb1000030284669,0.069,0.185,A) Low,68
719,osgb1000030284670,0.025,0.044,A) Low,72
720,osgb1000030284671,0.013,0.027,A) Low,73
721,osgb1000030284703,0.014,0.022,A) Low,59
722,osgb1000030284672,0.032,0.07,A) Low,81
723,osgb1000030284673,0.026,0.041,A) Low,4
724,osgb1000030284674,0.042,0.088,A) Low,78
725,osgb1000030284675,0.02,0.047,A) Low,72
726,osgb1000030284677,0.003,0.005,A) Low,12
727,osgb1000030284678,0.003,0.003,A) Low,41
728,osgb1000030284679,0.003,0.004,A) Low,55
729,osgb1000030284680,0.003,0.004,A) Low,14
730,osgb1000030284681,0.003,0.004,A) Low,41
731,osgb1000030284682,0.003,0.004,A) Low,45
732,osgb1000030284685,0.007,0.012,A) Low,66
733,osgb1000030284686,0.005,0.009,A) Low,66
734,osgb1000030284687,0.007,0.011,A) Low,68
735,osgb1000030284688,0.01,0.014,A) Low,67
736,osgb1000030284689,0.011,0.014,A) Low,70
737,osgb1000030284690,0.011,0.014,A) Low,68
738,osgb1000030284691,0.012,0.018,A) Low,65
739,osgb1000030284692,0.005,0.007,A) Low,77
740,osgb1000030284693,0.029,0.075,A) Low,76
741,osgb1000030284694,0.031,0.074,A) Low,73
742,osgb1000030284695,0.009,0.012,A) Low,14
743,osgb1000030284696,0.006,0.009,A) Low,55
744,osgb1000030284697,0.013,0.02,A) Low,79
745,osgb1000030284698,0.013,0.019,A) Low,78
746,osgb1000030284699,0.01,0.015,A) Low,76
747,osgb1000030284700,0.01,0.018,A) Low,82
748,osgb1000030284701,0.01,0.016,A) Low,74
749,osgb1000030284702,0.007,0.012,A) Low,78
750,osgb1000030284704,0.012,0.02,A) Low,57
751,osgb1000030284705,0.012,0.019,A) Low,59
752,osgb1000030284706,0.012,0.017,A) Low,58
753,osgb1000030284707,0.011,0.016,A) Low,60
754,osgb1000030284708,0.01,0.016,A) Low,57
755,osgb1000030284709,0.011,0.017,A) Low,61
756,osgb1000030284710,0.01,0.016,A) Low,57
757,osgb1000030284711,0.01,0.014,A) Low,58
758,osgb1000030284712,0.018,0.037,A) Low,57
759,osgb1000030284713,0.02,0.05,A) Low,43
760,osgb1000030284714,0.006,0.008,A) Low,55
761,osgb1000030284715,0.016,0.022,A) Low,46
762,osgb1000030284716,0.012,0.02,A) Low,44
763,osgb1000030284717,0.012,0.022,A) Low,54
764,osgb1000030284718,0.01,0.018,A) Low,60
765,osgb1000030284719,0.01,0.018,A) Low,53
766,osgb1000030284720,0.008,0.018,A) Low,59
767,osgb1000030284721,0.008,0.017,A) Low,54
768,osgb1000030284722,0.008,0.016,A) Low,56
769,osgb1000030284723,0.009,0.016,A) Low,53
770,osgb1000030284724,0.007,0.012,A) Low,58
771,osgb1000030284725,0.006,0.012,A) Low,52
772,osgb1000030284728,0.059,0.114,A) Low,72
773,osgb1000030284729,0.041,0.084,A) Low,62
774,osgb1000030284730,0.082,0.175,A) Low,54
775,osgb1000030284731,0.111,0.232,B) Medium,56
776,osgb1000030284732,0.083,0.211,A) Low,58
777,osgb1000030284733,0.025,0.048,A) Low,74
778,osgb1000030284734,0.023,0.047,A) Low,55
779,osgb1000030284735,0.031,0.056,A) Low,52
780,osgb1000030284736,0.042,0.077,A) Low,69
781,osgb1000030284737,0.028,0.07,A) Low,59
782,osgb1000030284738,0.035,0.075,A) Low,59
783,osgb1000030284739,0.015,0.023,A) Low,67
784,osgb1000030284740,0.016,0.023,A) Low,60
785,osgb1000030284741,0.017,0.025,A) Low,68
786,osgb1000030284742,0.015,0.023,A) Low,71
787,osgb1000030284743,0.014,0.019,A) Low,71
788,osgb1000030284744,0.014,0.019,A) Low,74
789,osgb1000030284745,0.015,0.02,A) Low,72
790,osgb1000030284746,0.014,0.018,A) Low,70
791,osgb1000030284747,0.008,0.012,A) Low,69
792,osgb1000030284748,0.006,0.01,A) Low,69
793,osgb1000030284751,0.09,0.186,A) Low,12
794,osgb1000030284752,0.008,0.018,A) Low,7
795,osgb1000030284755,0.02,0.03,A) Low,68
796,osgb1000030284756,0.021,0.04,A) Low,67
797,osgb1000030284757,0.022,0.047,A) Low,74
798,osgb1000030284758,0.026,0.046,A) Low,74
799,osgb1000030284759,0.03,0.049,A) Low,107
800,osgb1000030284761,0.081,0.103,A) Low,100
801,osgb1000030284763,0.016,0.026,A) Low,7
802,osgb1000030285208,0.019,0.036,A) Low,25
803,osgb1000030285576,0.043,0.115,A) Low,12
804,osgb1000030285366,0.07,0.15,A) Low,81
805,osgb1000030285367,0.05,0.154,A) Low,78
806,osgb1000030285368,0.08,0.154,A) Low,83
807,osgb1000030285496,0.019,0.052,A) Low,598
808,osgb1000030285369,0.058,0.152,A) Low,79
809,osgb1000030285370,0.092,0.148,A) Low,79
810,osgb1000030285371,0.074,0.146,A) Low,80
811,osgb1000030285372,0.05,0.146,A) Low,79
812,osgb1000030285375,0.013,0.021,A) Low,2
813,osgb1000030285578,0.015,0.038,A) Low,28
814,osgb1000030285488,0.013,0.03,A) Low,28
815,osgb1000030285432,0.129,0.18,B) Medium,15
816,osgb1000030285433,0.207,0.215,B) Medium,13
817,osgb1000030285434,0.236,0.286,B) Medium,14
818,osgb1000030285435,0.21,0.272,B) Medium,65
819,osgb1000030285437,0.259,0.308,C) High,16
820,osgb1000030285438,0.231,0.282,B) Medium,16
821,osgb1000030285439,0.051,0.079,A) Low,11
822,osgb1000030285440,0.047,0.063,A) Low,10
823,osgb1000030285441,0.055,0.072,A) Low,9
824,osgb1000030285442,0.013,0.024,A) Low,11
825,osgb1000030285443,0.081,0.193,A) Low,143
826,osgb1000030285444,0.052,0.103,A) Low,81
827,osgb1000030285445,0.095,0.182,A) Low,65
828,osgb1000030285448,0.153,0.224,B) Medium,62
829,osgb1000030285450,0.163,0.242,B) Medium,82
830,osgb1000030285451,0.114,0.185,B) Medium,61
831,osgb1000030285452,0.113,0.168,B) Medium,61
832,osgb1000030285453,0.098,0.16,A) Low,76
833,osgb1000030285454,0.057,0.109,A) Low,61
834,osgb1000030285455,0.041,0.085,A) Low,65
835,osgb1000030285456,0.027,0.052,A) Low,71
836,osgb1000030285577,0.026,0.045,A) Low,11
837,osgb1000030285458,0.018,0.032,A) Low,64
838,osgb1000030285459,0.014,0.028,A) Low,61
839,osgb1000030285460,0.012,0.02,A) Low,63
840,osgb1000030285461,0.057,0.094,A) Low,62
841,osgb1000030285497,0.009,0.022,A) Low,80
842,osgb1000030285462,0.167,0.206,B) Medium,65
843,osgb1000030285463,0.187,0.245,B) Medium,73
844,osgb1000030285468,0.046,0.085,A) Low,82
845,osgb1000030285469,0.025,0.033,A) Low,81
846,osgb1000030285470,0.025,0.037,A) Low,83
847,osgb1000030285471,0.044,0.069,A) Low,81
848,osgb1000030285472,0.048,0.073,A) Low,86
849,osgb1000030285473,0.055,0.077,A) Low,88
850,osgb1000030285474,0.068,0.097,A) Low,86
851,osgb1000030285475,0.051,0.106,A) Low,86
852,osgb1000030285476,0.056,0.125,A) Low,88
853,osgb1000030285477,0.097,0.15,A) Low,89
854,osgb1000030285478,0.066,0.113,A) Low,82
855,osgb1000030285479,0.029,0.069,A) Low,89
856,osgb1000030285480,0.018,0.035,A) Low,79
857,osgb1000030285481,0.023,0.031,A) Low,79
858,osgb1000030285484,0.019,0.038,A) Low,3
859,osgb1000030285485,0.012,0.023,A) Low,9
860,osgb1000030285486,0.034,0.079,A) Low,28
861,osgb1000030285487,0.02,0.05,A) Low,16
862,osgb1000030285489,0.013,0.019,A) Low,10
863,osgb1000030285490,0.011,0.014,A) Low,14
864,osgb1000030285491,0.006,0.011,A) Low,53
865,osgb1000030285492,0.025,0.065,A) Low,51
866,osgb1000030285493,0.045,0.13,A) Low,52
867,osgb1000030285494,0.02,0.057,A) Low,44
868,osgb1000030285495,0.014,0.026,A) Low,229
869,osgb1000030285498,0.007,0.015,A) Low,82
870,osgb1000030285499,0.005,0.008,A) Low,81
871,osgb1000030285500,0.003,0.004,A) Low,83
872,osgb1000030285501,0.004,0.005,A) Low,80
873,osgb1000030285502,0.004,0.007,A) Low,77
874,osgb1000030285503,0.056,0.147,A) Low,83
875,osgb1000030285504,0.088,0.174,A) Low,80
876,osgb1000030285505,0.048,0.112,A) Low,82
877,osgb1000030285508,0.003,0.005,A) Low,81
878,osgb1000030285509,0.004,0.005,A) Low,82
879,osgb1000030285510,0.002,0.004,A) Low,80
880,osgb1000030285511,0.003,0.004,A) Low,80
881,osgb1000030285514,0.003,0.004,A) Low,67
882,osgb1000030285515,0.003,0.004,A) Low,68
883,osgb1000030285516,0.004,0.006,A) Low,72
884,osgb1000030285518,0.007,0.01,A) Low,67
885,osgb1000030285519,0.012,0.027,A) Low,73
886,osgb1000030285520,0.013,0.024,A) Low,71
887,osgb1000030285522,0.02,0.025,A) Low,72
888,osgb1000030285523,0.002,0.002,A) Low,70
889,osgb1000030285532,0.06,0.178,A) Low,92
890,osgb1000030285533,0.018,0.038,A) Low,77
891,osgb1000030285534,0.005,0.007,A) Low,73
892,osgb1000030285535,0.003,0.005,A) Low,76
893,osgb1000030285540,0.017,0.038,A) Low,93
894,osgb1000030285541,0.019,0.025,A) Low,96
895,osgb1000030285544,0.008,0.013,A) Low,63
896,osgb1000030285545,0.029,0.063,A) Low,70
897,osgb1000030285546,0.035,0.078,A) Low,70
898,osgb1000030285547,0.038,0.084,A) Low,58
899,osgb1000030285548,0.055,0.133,A) Low,74
900,osgb1000030285549,0.059,0.133,A) Low,67
901,osgb1000030285550,0.026,0.048,A) Low,64
902,osgb1000030285551,0.02,0.049,A) Low,60
903,osgb1000030285552,0.032,0.092,A) Low,70
904,osgb1000030285579,0.006,0.012,A) Low,12
905,osgb1000030285553,0.058,0.151,A) Low,58
906,osgb1000030285555,0.03,0.035,A) Low,81
907,osgb1000030285557,0.038,0.153,A) Low,84
908,osgb1000030285558,0.012,0.016,A) Low,74
909,osgb1000030285559,0.012,0.016,A) Low,89
910,osgb1000030285560,0.025,0.056,A) Low,89
911,osgb1000030285563,0.19,0.408,C) High,70
912,osgb1000030285564,0.114,0.191,B) Medium,97
913,osgb1000030285567,0.03,0.048,A) Low,100
914,osgb1000030285568,0.026,0.055,A) Low,95
915,osgb1000030285569,0.003,0.004,A) Low,7
916,osgb1000030285571,0.004,0.005,A) Low,14
917,osgb1000030285573,0.012,0.029,A) Low,13
918,osgb1000030285580,0.002,0.004,A) Low,9
919,osgb1000030285581,0.023,0.062,A) Low,11
920,osgb1000030285583,0.003,0.004,A) Low,12
921,osgb1000030285584,0.003,0.005,A) Low,13
922,osgb1000030285585,0.003,0.004,A) Low,10
923,osgb1000030285586,0.005,0.008,A) Low,14
924,osgb1000030285694,0.007,0.011,A) Low,44
925,osgb1000030285695,0.046,0.137,A) Low,66
926,osgb1000030285690,0.023,0.054,A) Low,63
927,osgb1000030285691,0.118,0.15,B) Medium,60
928,osgb1000030285693,0.015,0.037,A) Low,716
929,osgb1000030288065,0.037,0.076,A) Low,57
930,osgb1000030288029,0.118,0.142,B) Medium,6
931,osgb1000030288030,0.124,0.151,B) Medium,33
932,osgb1000030288031,0.128,0.174,B) Medium,64
933,osgb1000030288032,0.108,0.189,B) Medium,44
934,osgb1000030288033,0.045,0.093,A) Low,75
935,osgb1000030288066,0.025,0.064,A) Low,61
936,osgb1000030288068,0.022,0.06,A) Low,59
937,osgb1000030288069,0.002,0.002,A) Low,63
938,osgb1000030288035,0.037,0.074,A) Low,405
939,osgb1000030288036,0.004,0.005,A) Low,80
940,osgb1000030288037,0.007,0.007,A) Low,121
941,osgb1000030288038,0.01,0.023,A) Low,74
942,osgb1000030288039,0.005,0.011,A) Low,51
943,osgb1000030288041,0.005,0.006,A) Low,9
944,osgb1000030288042,0.007,0.012,A) Low,5
945,osgb1000030288062,0.016,0.019,A) Low,0
946,osgb1000030288067,0.037,0.118,A) Low,64
947,osgb1000030288070,0.002,0.002,A) Low,69
948,osgb1000030288072,0.008,0.016,A) Low,64
949,osgb1000030288073,0.019,0.042,A) Low,14
950,osgb1000030288076,0.005,0.007,A) Low,16
951,osgb1000030288078,0.006,0.011,A) Low,67
952,osgb1000030288079,0.005,0.009,A) Low,71
953,osgb1000030288080,0.005,0.007,A) Low,71
954,osgb1000030288081,0.03,0.086,A) Low,69
955,osgb1000030288082,0.027,0.05,A) Low,77
956,osgb1000030288083,0.075,0.222,A) Low,78
957,osgb1000030288084,0.03,0.07,A) Low,76
958,osgb1000030288085,0.048,0.076,A) Low,74
959,osgb1000030288086,0.058,0.092,A) Low,70
960,osgb1000030288087,0.045,0.09,A) Low,74
961,osgb1000030288088,0.042,0.086,A) Low,71
962,osgb1000030288090,0.004,0.007,A) Low,69
963,osgb1000030288091,0.004,0.007,A) Low,70
964,osgb1000030288092,0.004,0.007,A) Low,69
965,osgb1000030288093,0.004,0.008,A) Low,70
966,osgb1000030288094,0.005,0.007,A) Low,68
967,osgb1000030288095,0.004,0.006,A) Low,67
968,osgb1000030288096,0.004,0.006,A) Low,69
969,osgb1000030288097,0.004,0.006,A) Low,66
970,osgb1000030288098,0.004,0.005,A) Low,62
971,osgb1000030288099,0.004,0.005,A) Low,66
972,osgb1000030288120,0.047,0.094,A) Low,52
973,osgb1000030288121,0.022,0.054,A) Low,52
974,osgb1000030288122,0.029,0.058,A) Low,53
975,osgb1000030288123,0.019,0.037,A) Low,56
976,osgb1000030288150,0.223,0.643,C) High,65
977,osgb1000030288152,0.232,0.51,C) High,74
